time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.CartesianPose.header.seq,.CartesianPose.header.stamp.secs,.CartesianPose.header.stamp.nsecs,.CartesianPose.header.frame_id,.CartesianPose.pose.position.x,.CartesianPose.pose.position.y,.CartesianPose.pose.position.z,.CartesianPose.pose.orientation.x,.CartesianPose.pose.orientation.y,.CartesianPose.pose.orientation.z,.CartesianPose.pose.orientation.w,.CartesianWrench.header.seq,.CartesianWrench.header.stamp.secs,.CartesianWrench.header.stamp.nsecs,.CartesianWrench.header.frame_id,.CartesianWrench.wrench.force.x,.CartesianWrench.wrench.force.y,.CartesianWrench.wrench.force.z,.CartesianWrench.wrench.torque.x,.CartesianWrench.wrench.torque.y,.CartesianWrench.wrench.torque.z,.JointPosition.header.seq,.JointPosition.header.stamp.secs,.JointPosition.header.stamp.nsecs,.JointPosition.header.frame_id,.JointPosition.position.a1,.JointPosition.position.a2,.JointPosition.position.a3,.JointPosition.position.a4,.JointPosition.position.a5,.JointPosition.position.a6,.JointPosition.position.a7,.tag
2018/01/25/10:49:45.691237,17355,1516841151,317000000,iiwa_link_0,64841,1516841151,317000000,iiwa_link_0,0.499988795655,-0.300001145156,0.500032916164,-4.31360687494e-05,1.0,-1.16061499429e-05,-1.34626282742e-05,64842,1516841151,317000000,Flange of LBR_iiwa_7_R800_1,0.460857497073,0.445318927043,1.34388426463,0.246308177041,-0.297622346239,0.146671289958,64843,1516841151,323000000,,-0.54045778513,0.481786161661,5.63258108741e-05,-1.19529664516,-6.01128049311e-05,1.46452128887,-0.540488243103,0
2018/01/25/10:49:45.701137,17356,1516841151,333000000,iiwa_link_0,64843,1516841151,333000000,iiwa_link_0,0.499988816766,-0.300001109969,0.500032916164,-4.32174563303e-05,1.0,-1.15533816283e-05,-1.34309650905e-05,64843,1516841151,324000000,Flange of LBR_iiwa_7_R800_1,0.461686826307,0.447342480304,1.34651656932,0.246775611129,-0.300673923203,0.146566248251,64844,1516841151,331000000,,-0.540458023548,0.481786161661,5.62060376978e-05,-1.19529652596,-6.01128049311e-05,1.46452116966,-0.540488481522,0
2018/01/25/10:49:45.711109,17357,1516841151,339000000,iiwa_link_0,64844,1516841151,339000000,iiwa_link_0,0.499988865267,-0.300001074442,0.500032963846,-4.32824771685e-05,1.0,-1.1625072944e-05,-1.34040774315e-05,64844,1516841151,333000000,Flange of LBR_iiwa_7_R800_1,0.477167738202,0.449888534032,1.34254570413,0.247411422996,-0.301084987526,0.146794312348,64845,1516841151,338000000,,-0.540458023548,0.481786161661,5.61460437893e-05,-1.19529652596,-6.01128049311e-05,1.46452105045,-0.540488243103,0
2018/01/25/10:49:45.721316,17358,1516841151,346000000,iiwa_link_0,64845,1516841151,346000000,iiwa_link_0,0.499988839482,-0.300001099693,0.500032963846,-4.34623001163e-05,1.0,-1.16096353021e-05,-1.34298027605e-05,64846,1516841151,346000000,Flange of LBR_iiwa_7_R800_1,0.484998168581,0.458962454115,1.34591250103,0.24731374546,-0.300992371678,0.146709438766,64847,1516841151,352000000,,-0.540457904339,0.48178628087,5.62060376978e-05,-1.19529640675,-6.01128049311e-05,1.46452105045,-0.540488481522,0
2018/01/25/10:49:45.731331,17359,1516841151,360000000,iiwa_link_0,64847,1516841151,360000000,iiwa_link_0,0.499988871022,-0.3000010568,0.500032846327,-4.33655483889e-05,1.0,-1.15396221306e-05,-1.34925470007e-05,64847,1516841151,353000000,Flange of LBR_iiwa_7_R800_1,0.469745037451,0.451424456633,1.34791487396,0.246893731287,-0.302109417346,0.146536316436,64848,1516841151,359000000,,-0.540457904339,0.481786161661,5.63258108741e-05,-1.19529652596,-6.01128049311e-05,1.46452105045,-0.540488362312,0
2018/01/25/10:49:45.741319,17360,1516841151,368000000,iiwa_link_0,64848,1516841151,368000000,iiwa_link_0,0.499988870342,-0.300001018515,0.50003278759,-4.33124217238e-05,1.0,-1.1547824154e-05,-1.3637208438e-05,64849,1516841151,368000000,Flange of LBR_iiwa_7_R800_1,0.466590800994,0.455234306952,1.34936958744,0.24517989902,-0.301976509793,0.146311506738,64850,1516841151,374000000,,-0.540457904339,0.48178628087,5.63858084206e-05,-1.19529652596,-5.99211671215e-05,1.46452105045,-0.540488362312,0
2018/01/25/10:49:45.751266,17361,1516841151,381000000,iiwa_link_0,64850,1516841151,381000000,iiwa_link_0,0.499988827279,-0.300000994036,0.500032868482,-4.33672829952e-05,1.0,-1.14762937729e-05,-1.35594369723e-05,64850,1516841151,375000000,Flange of LBR_iiwa_7_R800_1,0.473868320737,0.456731839579,1.34830646128,0.247070422712,-0.302190558922,0.145789278432,64851,1516841151,380000000,,-0.540457904339,0.481786161661,5.63858084206e-05,-1.19529664516,-6.00169878453e-05,1.46452105045,-0.540488362312,0
2018/01/25/10:49:45.761192,17362,1516841151,388000000,iiwa_link_0,64851,1516841151,388000000,iiwa_link_0,0.499988869698,-0.300001036377,0.500032822507,-4.331242534e-05,1.0,-1.15480101092e-05,-1.35325007181e-05,64852,1516841151,388000000,Flange of LBR_iiwa_7_R800_1,0.485025375154,0.460041263545,1.34168646261,0.249695603891,-0.304067760768,0.146111778111,64853,1516841151,394000000,,-0.540457904339,0.481786161661,5.63858084206e-05,-1.19529664516,-6.01128049311e-05,1.46452105045,-0.540488362312,0
2018/01/25/10:49:45.771263,17363,1516841151,404000000,iiwa_link_0,64853,1516841151,404000000,iiwa_link_0,0.499988869698,-0.300001036377,0.500032822507,-4.32525387304e-05,1.0,-1.15480109197e-05,-1.35325000266e-05,64853,1516841151,395000000,Flange of LBR_iiwa_7_R800_1,0.491344335265,0.468037681034,1.33412366118,0.250051261262,-0.304975977892,0.145992172954,64854,1516841151,403000000,,-0.540457904339,0.481786340475,5.63258108741e-05,-1.19529676437,-6.01128049311e-05,1.46452128887,-0.540488362312,0
2018/01/25/10:49:45.781271,17364,1516841151,411000000,iiwa_link_0,64854,1516841151,411000000,iiwa_link_0,0.499988879682,-0.300001042368,0.500032846326,-4.33124240553e-05,1.0,-1.15634166325e-05,-1.35068250378e-05,64854,1516841151,405000000,Flange of LBR_iiwa_7_R800_1,0.494668545513,0.470032187092,1.33998318706,0.249122895865,-0.303588460718,0.146121689495,64855,1516841151,410000000,,-0.540457904339,0.48178628087,5.62060376978e-05,-1.19529640675,-6.01128049311e-05,1.46452105045,-0.540488362312,0
