time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.CartesianPose.header.seq,.CartesianPose.header.stamp.secs,.CartesianPose.header.stamp.nsecs,.CartesianPose.header.frame_id,.CartesianPose.pose.position.x,.CartesianPose.pose.position.y,.CartesianPose.pose.position.z,.CartesianPose.pose.orientation.x,.CartesianPose.pose.orientation.y,.CartesianPose.pose.orientation.z,.CartesianPose.pose.orientation.w,.CartesianWrench.header.seq,.CartesianWrench.header.stamp.secs,.CartesianWrench.header.stamp.nsecs,.CartesianWrench.header.frame_id,.CartesianWrench.wrench.force.x,.CartesianWrench.wrench.force.y,.CartesianWrench.wrench.force.z,.CartesianWrench.wrench.torque.x,.CartesianWrench.wrench.torque.y,.CartesianWrench.wrench.torque.z,.JointPosition.header.seq,.JointPosition.header.stamp.secs,.JointPosition.header.stamp.nsecs,.JointPosition.header.frame_id,.JointPosition.position.a1,.JointPosition.position.a2,.JointPosition.position.a3,.JointPosition.position.a4,.JointPosition.position.a5,.JointPosition.position.a6,.JointPosition.position.a7,.tag
2018/01/25/10:50:49.601181,20310,1516841215,137000000,iiwa_link_0,73695,1516841215,137000000,iiwa_link_0,0.499982340281,-0.299996984962,0.50004087701,-4.44012502828e-05,1.0,-6.99022527679e-06,-2.06858602909e-05,73695,1516841215,129000000,Flange of LBR_iiwa_7_R800_1,0.412335227572,0.391694260927,1.34109583179,0.233454449612,-0.290888607507,0.15413483428,73696,1516841215,136000000,,-0.540458321571,0.481770336628,5.69251133129e-05,-1.19529974461,-6.00169878453e-05,1.46455085278,-0.540490269661,0
2018/01/25/10:50:49.611707,20311,1516841215,148000000,iiwa_link_0,73696,1516841215,148000000,iiwa_link_0,0.499982291897,-0.299997065601,0.50004087701,-4.43266774918e-05,1.0,-7.06678405227e-06,-2.07318027136e-05,73697,1516841215,148000000,Flange of LBR_iiwa_7_R800_1,0.347471602143,0.35217086071,1.34653446874,0.227769979954,-0.283008791548,0.153907181502,73697,1516841215,146000000,,-0.540458321571,0.481770336628,5.68052309973e-05,-1.1952996254,-6.01128049311e-05,1.46455085278,-0.54049038887,0
2018/01/25/10:50:49.621343,20312,1516841215,161000000,iiwa_link_0,73698,1516841215,161000000,iiwa_link_0,0.499982298922,-0.29999707963,0.500040994592,-4.43232663409e-05,1.0,-7.13200690021e-06,-2.05961463551e-05,73698,1516841215,155000000,Flange of LBR_iiwa_7_R800_1,0.33745904192,0.346251837477,1.34712612086,0.226691314039,-0.281449709811,0.153805586643,73699,1516841215,160000000,,-0.540458321571,0.481770277023,5.68651194044e-05,-1.1952996254,-6.01128049311e-05,1.46455097198,-0.540490269661,0
2018/01/25/10:50:49.631518,20313,1516841215,168000000,iiwa_link_0,73699,1516841215,168000000,iiwa_link_0,0.499982259835,-0.299997046363,0.500040946911,-4.43266754878e-05,1.0,-7.0668150299e-06,-2.07317576947e-05,73700,1516841215,168000000,Flange of LBR_iiwa_7_R800_1,0.344992407518,0.356640459727,1.34293130271,0.228522639521,-0.284419782417,0.153403788315,73700,1516841215,167000000,,-0.540458321571,0.481770217419,5.67453462281e-05,-1.19529974461,-6.00169878453e-05,1.46455073357,-0.54049038887,0
2018/01/25/10:50:49.641256,20314,1516841215,182000000,iiwa_link_0,73701,1516841215,182000000,iiwa_link_0,0.499982331397,-0.299997007783,0.500040994592,-4.44465016701e-05,1.0,-7.12846895133e-06,-2.06290080642e-05,73701,1516841215,176000000,Flange of LBR_iiwa_7_R800_1,0.362730640866,0.363596462517,1.3442493416,0.230738752134,-0.287320803741,0.153570571385,73702,1516841215,181000000,,-0.540458321571,0.481770217419,5.68052309973e-05,-1.1952996254,-6.00169878453e-05,1.46455085278,-0.540490269661,0
2018/01/25/10:50:49.651680,20315,1516841215,189000000,iiwa_link_0,73702,1516841215,189000000,iiwa_link_0,0.499982318861,-0.299996983371,0.50004094691,-4.44414230047e-05,1.0,-7.05677832427e-06,-2.06558949131e-05,73702,1516841215,182000000,Flange of LBR_iiwa_7_R800_1,0.380646696462,0.374091049542,1.33308053331,0.232720562486,-0.289565192546,0.153323713368,73703,1516841215,188000000,,-0.540458202362,0.481770217419,5.69251133129e-05,-1.1952996254,-6.02087966399e-05,1.46455085278,-0.54049038887,0
2018/01/25/10:50:49.661376,20316,1516841215,203000000,iiwa_link_0,73704,1516841215,203000000,iiwa_link_0,0.499982311884,-0.299997077594,0.500040924691,-4.43865615214e-05,1.0,-7.09762396909e-06,-2.06804050379e-05,73704,1516841215,196000000,Flange of LBR_iiwa_7_R800_1,0.40343078412,0.391714296841,1.33428720063,0.234665816305,-0.292715364258,0.152892526281,73705,1516841215,202000000,,-0.540458202362,0.481770217419,5.68651194044e-05,-1.19529974461,-6.00169878453e-05,1.46455085278,-0.54049038887,0
2018/01/25/10:50:49.671371,20317,1516841215,210000000,iiwa_link_0,73705,1516841215,210000000,iiwa_link_0,0.499982212185,-0.299997161162,0.500040946909,-4.40637909248e-05,1.0,-7.12144307654e-06,-2.06946973083e-05,73705,1516841215,203000000,Flange of LBR_iiwa_7_R800_1,0.406390012389,0.387466405286,1.33477656731,0.234381482192,-0.293921754597,0.153069337569,73706,1516841215,208000000,,-0.540458500385,0.481770217419,5.67453462281e-05,-1.1952996254,-6.01128049311e-05,1.46455085278,-0.540490090847,0
2018/01/25/10:50:49.681175,20318,1516841215,223000000,iiwa_link_0,73707,1516841215,223000000,iiwa_link_0,0.499982244209,-0.299997036988,0.500040946911,-4.43266744849e-05,1.0,-7.0359742019e-06,-2.07831559921e-05,73707,1516841215,216000000,Flange of LBR_iiwa_7_R800_1,0.419610276617,0.38251275847,1.33824301963,0.233635394328,-0.294713866433,0.153076138536,73708,1516841215,222000000,,-0.540458321571,0.481770217419,5.68052309973e-05,-1.1952996254,-6.00169878453e-05,1.46455097198,-0.540490269661,0
2018/01/25/10:50:49.691197,20319,1516841215,233000000,iiwa_link_0,73708,1516841215,233000000,iiwa_link_0,0.499982345033,-0.299996985057,0.500040994593,-4.44730369053e-05,1.0,-7.11657307357e-06,-2.06218686742e-05,73708,1516841215,223000000,Flange of LBR_iiwa_7_R800_1,0.425245767394,0.384247466127,1.33745189591,0.234410450762,-0.294243879974,0.15343220555,73709,1516841215,232000000,,-0.540458381176,0.481770098209,5.68651194044e-05,-1.1952996254,-6.01128049311e-05,1.46455097198,-0.54049038887,0
2018/01/25/10:50:49.701313,20320,1516841215,242000000,iiwa_link_0,73709,1516841215,242000000,iiwa_link_0,0.499982281617,-0.299997045444,0.500040946911,-4.4508073292e-05,1.0,-7.12665269795e-06,-2.06978237412e-05,73709,1516841215,233000000,Flange of LBR_iiwa_7_R800_1,0.420749755814,0.379315879332,1.33089761629,0.234706543593,-0.294070175354,0.153277195725,73710,1516841215,241000000,,-0.540458202362,0.481770217419,5.68052309973e-05,-1.1952996254,-6.02087966399e-05,1.46455085278,-0.54049038887,0
