time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.CartesianPose.header.seq,.CartesianPose.header.stamp.secs,.CartesianPose.header.stamp.nsecs,.CartesianPose.header.frame_id,.CartesianPose.pose.position.x,.CartesianPose.pose.position.y,.CartesianPose.pose.position.z,.CartesianPose.pose.orientation.x,.CartesianPose.pose.orientation.y,.CartesianPose.pose.orientation.z,.CartesianPose.pose.orientation.w,.CartesianWrench.header.seq,.CartesianWrench.header.stamp.secs,.CartesianWrench.header.stamp.nsecs,.CartesianWrench.header.frame_id,.CartesianWrench.wrench.force.x,.CartesianWrench.wrench.force.y,.CartesianWrench.wrench.force.z,.CartesianWrench.wrench.torque.x,.CartesianWrench.wrench.torque.y,.CartesianWrench.wrench.torque.z,.JointPosition.header.seq,.JointPosition.header.stamp.secs,.JointPosition.header.stamp.nsecs,.JointPosition.header.frame_id,.JointPosition.position.a1,.JointPosition.position.a2,.JointPosition.position.a3,.JointPosition.position.a4,.JointPosition.position.a5,.JointPosition.position.a6,.JointPosition.position.a7,.tag
2018/01/25/10:51:34.481292,23266,1516841260,5000000,iiwa_link_0,79896,1516841260,5000000,iiwa_link_0,0.499983977959,-0.30000329719,0.500053317674,-3.43508088732e-05,1.0,-1.3246833951e-05,-1.03939715021e-05,79896,1516841259,998000000,Flange of LBR_iiwa_7_R800_1,0.328245243096,0.384761579644,1.32551358825,0.238502372499,-0.278169655461,0.149316507578,79897,1516841260,4000000,,-0.540465950966,0.481769442558,5.68052309973e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540477871895,0
2018/01/25/10:51:34.491249,23267,1516841260,12000000,iiwa_link_0,79897,1516841260,12000000,iiwa_link_0,0.499983962289,-0.300003304677,0.500053352593,-3.44158298749e-05,1.0,-1.3303090715e-05,-1.03928085812e-05,79898,1516841260,12000000,Flange of LBR_iiwa_7_R800_1,0.325401106032,0.389864445708,1.32695126121,0.239764898894,-0.280242670018,0.148841352867,79898,1516841260,11000000,,-0.540465950966,0.481769323349,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.501397,23268,1516841260,19000000,iiwa_link_0,79898,1516841260,19000000,iiwa_link_0,0.499983975367,-0.300003295634,0.500053328773,-3.44107518115e-05,1.0,-1.32776472705e-05,-1.03426214732e-05,79899,1516841260,19000000,Flange of LBR_iiwa_7_R800_1,0.328042390296,0.393322685474,1.32439512805,0.240795588088,-0.281617117837,0.149232088783,79900,1516841260,25000000,,-0.540465950966,0.48176920414,5.67453462281e-05,-1.19526982307,-6.01128049311e-05,1.4645575285,-0.540478169918,0
2018/01/25/10:51:34.511187,23269,1516841260,36000000,iiwa_link_0,79900,1516841260,36000000,iiwa_link_0,0.499983918965,-0.300003298328,0.500053433595,-3.44090070044e-05,1.0,-1.33101210532e-05,-1.03271215024e-05,79900,1516841260,26000000,Flange of LBR_iiwa_7_R800_1,0.345969970876,0.401753601017,1.32440401924,0.241609866311,-0.281423844993,0.149288542794,79901,1516841260,34000000,,-0.540466070175,0.481769263744,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.521410,23270,1516841260,43000000,iiwa_link_0,79901,1516841260,43000000,iiwa_link_0,0.499983953287,-0.300003282386,0.500053422494,-3.43508073714e-05,1.0,-1.32930853501e-05,-1.03168999536e-05,79901,1516841260,36000000,Flange of LBR_iiwa_7_R800_1,0.355943483302,0.409746842605,1.32027090651,0.242696636936,-0.283908092525,0.149707500397,79902,1516841260,42000000,,-0.540466070175,0.481769263744,5.66853486816e-05,-1.19526982307,-6.01128049311e-05,1.46455764771,-0.540478050709,0
2018/01/25/10:51:34.531274,23271,1516841260,56000000,iiwa_link_0,79903,1516841260,56000000,iiwa_link_0,0.499983927678,-0.30000326702,0.500053398674,-3.44107488081e-05,1.0,-1.32468375269e-05,-1.03939748154e-05,79903,1516841260,49000000,Flange of LBR_iiwa_7_R800_1,0.358629081083,0.419573057674,1.31468099871,0.243706626334,-0.285892244452,0.150040256846,79904,1516841260,55000000,,-0.540466070175,0.481769263744,5.66853486816e-05,-1.19526994228,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.541221,23272,1516841260,63000000,iiwa_link_0,79904,1516841260,63000000,iiwa_link_0,0.499983949386,-0.300003361564,0.500053352593,-3.4290868222e-05,1.0,-1.32930537603e-05,-1.03169457731e-05,79904,1516841260,56000000,Flange of LBR_iiwa_7_R800_1,0.364405742064,0.416863691471,1.31910490866,0.242681481556,-0.285609830367,0.149851075018,79905,1516841260,62000000,,-0.540466070175,0.481769323349,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.46455729008,-0.540478050709,0
2018/01/25/10:51:34.551355,23273,1516841260,76000000,iiwa_link_0,79906,1516841260,76000000,iiwa_link_0,0.499983933775,-0.300003352198,0.500053352593,-3.43508083729e-05,1.0,-1.32622404862e-05,-1.03682981647e-05,79906,1516841260,69000000,Flange of LBR_iiwa_7_R800_1,0.368800444275,0.412858155085,1.31507089139,0.244553056948,-0.286983784138,0.150045299097,79907,1516841260,75000000,,-0.540466070175,0.481769382954,5.68052309973e-05,-1.19526982307,-6.00169878453e-05,1.4645575285,-0.540478169918,0
2018/01/25/10:51:34.561456,23274,1516841260,83000000,iiwa_link_0,79907,1516841260,83000000,iiwa_link_0,0.499983903839,-0.300003432568,0.500053328773,-3.42360637565e-05,1.0,-1.3333930647e-05,-1.03414109163e-05,79907,1516841260,76000000,Flange of LBR_iiwa_7_R800_1,0.372609099612,0.408182402957,1.31328407191,0.244417587359,-0.287922713905,0.149950836594,79908,1516841260,82000000,,-0.54046612978,0.481769382954,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.4645575285,-0.540478050709,0
2018/01/25/10:51:34.571242,23275,1516841260,97000000,iiwa_link_0,79909,1516841260,97000000,iiwa_link_0,0.499983812883,-0.300003422921,0.500053398674,-3.42378498776e-05,1.0,-1.3239787844e-05,-1.0459653789e-05,79909,1516841260,89000000,Flange of LBR_iiwa_7_R800_1,0.380188872513,0.412444736009,1.32110563599,0.24350584312,-0.286660227022,0.149915998846,79910,1516841260,96000000,,-0.540466189384,0.48176920414,5.66853486816e-05,-1.19526994228,-6.00169878453e-05,1.46455776691,-0.540478169918,0
2018/01/25/10:51:34.581305,23276,1516841260,104000000,iiwa_link_0,79910,1516841260,104000000,iiwa_link_0,0.499983898374,-0.300003388568,0.500053328774,-3.42660055553e-05,1.0,-1.32876839131e-05,-1.04184846793e-05,79910,1516841260,97000000,Flange of LBR_iiwa_7_R800_1,0.384594176805,0.403101654323,1.31993288007,0.242660211254,-0.286129035917,0.150295513643,79911,1516841260,103000000,,-0.540466070175,0.481769382954,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.591264,23277,1516841260,111000000,iiwa_link_0,79911,1516841260,111000000,iiwa_link_0,0.499983913985,-0.300003397934,0.500053328773,-3.43259477099e-05,1.0,-1.33184959456e-05,-1.03671338816e-05,79911,1516841260,104000000,Flange of LBR_iiwa_7_R800_1,0.369242615814,0.397118111653,1.3187608596,0.241598233468,-0.284908339695,0.149924763205,79912,1516841260,110000000,,-0.540466070175,0.481769263744,5.66853486816e-05,-1.19526994228,-6.00169878453e-05,1.46455740929,-0.540478289127,0
2018/01/25/10:51:34.601220,23278,1516841260,121000000,iiwa_link_0,79912,1516841260,121000000,iiwa_link_0,0.499983933775,-0.300003352198,0.500053352593,-3.43508083729e-05,1.0,-1.32622404862e-05,-1.03682981647e-05,79913,1516841260,121000000,Flange of LBR_iiwa_7_R800_1,0.326541205205,0.359713546463,1.3270515088,0.237448311005,-0.278330423327,0.150349124386,79913,1516841260,120000000,,-0.540466070175,0.481769382954,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.611291,23279,1516841260,134000000,iiwa_link_0,79914,1516841260,134000000,iiwa_link_0,0.499983974519,-0.300003314772,0.500053328774,-3.44039296552e-05,1.0,-1.32692670754e-05,-1.0302607668e-05,79914,1516841260,128000000,Flange of LBR_iiwa_7_R800_1,0.312744172659,0.354181408936,1.33370484434,0.235029892759,-0.275858222678,0.149904636475,79915,1516841260,134000000,,-0.540466070175,0.481769382954,5.68651194044e-05,-1.19526982307,-6.00169878453e-05,1.4645575285,-0.540478169918,0
2018/01/25/10:51:34.621583,23280,1516841260,141000000,iiwa_link_0,79915,1516841260,141000000,iiwa_link_0,0.49998392295,-0.300003345701,0.500053398674,-3.4440694115e-05,1.0,-1.3308489353e-05,-1.02912268478e-05,79915,1516841260,135000000,Flange of LBR_iiwa_7_R800_1,0.301669206676,0.357446931034,1.33363915242,0.233985713076,-0.275360407173,0.149974745008,79916,1516841260,140000000,,-0.540466070175,0.481769382954,5.65655755054e-05,-1.19526982307,-6.01128049311e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.631230,23281,1516841260,155000000,iiwa_link_0,79917,1516841260,155000000,iiwa_link_0,0.499983964724,-0.300003277988,0.500053328774,-3.45203476937e-05,1.0,-1.32111229544e-05,-1.03725435042e-05,79917,1516841260,148000000,Flange of LBR_iiwa_7_R800_1,0.302545807388,0.367762592229,1.3330244529,0.238208705053,-0.276486014015,0.150035542071,79918,1516841260,154000000,,-0.540465950966,0.48176920414,5.68052309973e-05,-1.19526994228,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.641499,23282,1516841260,161000000,iiwa_link_0,79918,1516841260,161000000,iiwa_link_0,0.499983972129,-0.300003191096,0.500053468513,-3.44938106135e-05,1.0,-1.32846801518e-05,-1.02769341719e-05,79918,1516841260,155000000,Flange of LBR_iiwa_7_R800_1,0.313113391303,0.396215960323,1.31787032938,0.241458673354,-0.280087864707,0.149643121572,79919,1516841260,161000000,,-0.540465891361,0.48176920414,5.68052309973e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.651291,23283,1516841260,175000000,iiwa_link_0,79920,1516841260,175000000,iiwa_link_0,0.499984022177,-0.300003180329,0.500053398675,-3.44638693063e-05,1.0,-1.32846781642e-05,-1.02769312297e-05,79920,1516841260,168000000,Flange of LBR_iiwa_7_R800_1,0.351448619348,0.427517770944,1.31578611906,0.246285398589,-0.286596337507,0.149559220668,79921,1516841260,174000000,,-0.540465891361,0.481769263744,5.66853486816e-05,-1.19526982307,-6.00169878453e-05,1.46455764771,-0.540478169918,0
2018/01/25/10:51:34.661247,23284,1516841260,182000000,iiwa_link_0,79921,1516841260,182000000,iiwa_link_0,0.499983980348,-0.300003196027,0.500053433594,-3.43439855054e-05,1.0,-1.32692739152e-05,-1.03026071098e-05,79921,1516841260,175000000,Flange of LBR_iiwa_7_R800_1,0.36291068325,0.447429444621,1.31098265253,0.247898811636,-0.286941865099,0.149363118221,79922,1516841260,181000000,,-0.540465891361,0.481769382954,5.68052309973e-05,-1.19526982307,-6.01128049311e-05,1.46455740929,-0.540478050709,0
2018/01/25/10:51:34.671324,23285,1516841260,196000000,iiwa_link_0,79923,1516841260,196000000,iiwa_link_0,0.499983952305,-0.300003298686,0.500053328774,-3.4415831163e-05,1.0,-1.3287684225e-05,-1.04184842813e-05,79923,1516841260,189000000,Flange of LBR_iiwa_7_R800_1,0.377274472926,0.44432770579,1.31328773606,0.244997300411,-0.286255386794,0.149245190141,79924,1516841260,194000000,,-0.540465950966,0.481769323349,5.66853486816e-05,-1.19526994228,-6.00169878453e-05,1.4645575285,-0.540478169918,0
